anio,semestre,periodo,trabajo_de,grupo_rol,dedicacion,sal_bruto,log_sal,sueldo_dolarizado,log_sal_usd,sal_usd_blue,seniority,experiencia,antiguedad_empresa,antiguedad_puesto,gente_a_cargo,gente_a_cargo_grupo,contrato,modalidad,tam_empresa,genero_simple,edad,nivel_estudios,region,uso_ia
2019,1,2019.1,Developer,Desarrollo / QA,NA,35000,10.46310334047155,NA,6.733092547424083,839.7401908801697,NA,2,1,1,0,Sin equipo,Staff,NA,NA,Hombre,22,Universitario,Interior,NA
2019,1,2019.1,Developer,Desarrollo / QA,NA,50000,10.819778284410283,NA,7.0897674913628155,1199.6288441145282,NA,8,7,2,2,Equipo pequeño,Staff,NA,NA,Mujer,35,Posgrado/Especialización,Interior,NA
2019,1,2019.1,Developer,Desarrollo / QA,NA,70000,11.156250521031495,NA,7.426239727984028,1679.4803817603395,NA,20,2,10,0,Sin equipo,Freelance,NA,NA,Hombre,41,Universitario,Interior,NA
2019,1,2019.1,BI Analyst / Data Analyst,Datos / AI,NA,47000,10.757902880692196,NA,7.0278920876447275,1127.6511134676564,NA,16,16,16,0,Sin equipo,Staff,NA,NA,Hombre,38,Terciario,Interior,NA
2019,1,2019.1,Architect,Infraestructura,NA,46000,10.736396675471232,NA,7.006385882423764,1103.658536585366,NA,10,2,2,0,Sin equipo,Staff,NA,NA,Hombre,32,Universitario,Interior,NA
2019,1,2019.1,Developer,Desarrollo / QA,NA,250000,12.429216196844383,NA,8.699205403796915,5998.144220572641,NA,7,3,1,2,Equipo pequeño,Contractor,NA,NA,Hombre,28,Universitario,Interior,NA
2019,1,2019.1,Developer,Desarrollo / QA,NA,17000,9.740968623038354,NA,6.010957829990885,407.8738069989396,NA,0,0,0,0,Sin equipo,Staff,NA,NA,Hombre,29,Universitario,Interior,NA
2019,1,2019.1,Developer,Desarrollo / QA,NA,160000,11.982929094215963,NA,8.252918301168496,3838.81230116649,NA,8,3,3,0,Sin equipo,Staff,NA,NA,Hombre,27,Universitario,Interior,NA
2019,1,2019.1,Manager / Director,Roles de gestión,NA,56000,10.933106969717286,NA,7.203096176669819,1343.5843054082716,NA,2,2,0,0,Sin equipo,Staff,NA,NA,Hombre,20,Terciario,Interior,NA
2019,1,2019.1,Developer,Desarrollo / QA,NA,40000,10.596634733096073,NA,6.866623940048606,959.7030752916226,NA,2,2,0,2,Equipo pequeño,Otro,NA,NA,Hombre,23,Universitario,Interior,NA
2019,1,2019.1,DBA,Infraestructura,NA,45000,10.714417768752456,NA,6.984406975704989,1079.6659597030753,NA,20,16,12,3,Equipo pequeño,Staff,NA,NA,Hombre,41,Universitario,Interior,NA
2019,1,2019.1,Manager / Director,Roles de gestión,NA,50000,10.819778284410283,NA,7.0897674913628155,1199.6288441145282,NA,16,5,5,11,Equipo grande,Staff,NA,NA,Hombre,36,Posgrado/Especialización,Interior,NA
2019,1,2019.1,Manager / Director,Roles de gestión,NA,72186,11.187001400261579,NA,7.456990607214112,1731.9281548250267,NA,13,1,1,2,Equipo pequeño,Staff,NA,NA,Hombre,37,Universitario,Interior,NA
2019,1,2019.1,Architect,Infraestructura,NA,92000,11.429543856031177,NA,7.6995330629837095,2207.317073170732,NA,10,4,3,0,Sin equipo,Staff,NA,NA,Hombre,38,Universitario,Interior,NA
2019,1,2019.1,Developer,Desarrollo / QA,NA,35000,10.46310334047155,NA,6.733092547424083,839.7401908801697,NA,15,11,11,0,Sin equipo,Staff,NA,NA,Hombre,40,Universitario,Interior,NA
2019,1,2019.1,Developer,Desarrollo / QA,NA,40000,10.596634733096073,NA,6.866623940048606,959.7030752916226,NA,7,0,0,0,Sin equipo,Contractor,NA,NA,Hombre,36,Universitario,Interior,NA
2019,1,2019.1,Developer,Desarrollo / QA,NA,25372,10.141401482753787,NA,6.41139068970632,608.7396606574762,NA,8,8,8,0,Sin equipo,Otro,NA,NA,Hombre,30,Universitario,Interior,NA
2019,1,2019.1,Developer,Desarrollo / QA,NA,38000,10.545341438708522,NA,6.815330645661056,911.7179215270414,NA,12,10,10,0,Sin equipo,Staff,NA,NA,Hombre,34,Universitario,Interior,NA
2019,1,2019.1,QA / Tester,Desarrollo / QA,NA,9300,9.137769679141348,NA,5.4077588860938794,223.13096500530224,NA,0,0,0,0,Sin equipo,Otro,NA,NA,Mujer,25,Universitario,Interior,NA
2019,1,2019.1,Developer,Desarrollo / QA,NA,5500,8.612503371220562,NA,4.882492578173094,131.9591728525981,NA,2,0,0,0,Sin equipo,Freelance,NA,NA,Hombre,23,Universitario,Interior,NA
2019,1,2019.1,Developer,Desarrollo / QA,NA,60000,11.002099841204238,NA,7.27208904815677,1439.5546129374338,NA,10,10,10,3,Equipo pequeño,Staff,NA,NA,Hombre,39,Universitario,Interior,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Infraestructura,NA,42478,10.656741573828192,NA,6.926730780780725,1019.1566808059385,NA,19,6,6,0,Sin equipo,Staff,NA,NA,Hombre,37,Universitario,Interior,NA
2019,1,2019.1,Manager / Director,Roles de gestión,NA,70000,11.156250521031495,NA,7.426239727984028,1679.4803817603395,NA,20,5,5,15,Equipo grande,Staff,NA,NA,Hombre,41,Universitario,Interior,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Infraestructura,NA,71516,11.17767647987171,NA,7.4476656868242435,1715.8531283138918,NA,12,5,5,0,Sin equipo,Staff,NA,NA,Hombre,38,Universitario,Interior,NA
2019,1,2019.1,Developer,Desarrollo / QA,NA,70000,11.156250521031495,NA,7.426239727984028,1679.4803817603395,NA,9,6,6,0,Sin equipo,Staff,NA,NA,Hombre,34,Universitario,Interior,NA
2019,1,2019.1,Developer,Desarrollo / QA,NA,20000,9.903487552536127,NA,6.17347675948866,479.8515376458113,NA,2,2,2,0,Sin equipo,Otro,NA,NA,Hombre,26,Universitario,Interior,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Infraestructura,NA,15000,9.615805480084347,NA,5.88579468703688,359.88865323435846,NA,5,2,2,0,Sin equipo,Staff,NA,NA,Hombre,23,Universitario,Interior,NA
2019,1,2019.1,Developer,Desarrollo / QA,NA,47907,10.777016910508976,NA,7.0470061174615095,1149.4123806998941,NA,4,4,4,0,Sin equipo,Staff,NA,NA,Hombre,28,Universitario,Interior,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Infraestructura,NA,100000,11.512925464970229,NA,7.782914671922761,2399.2576882290564,NA,20,20,10,7,Equipo mediano,Staff,NA,NA,Hombre,43,Universitario,Interior,NA
2019,1,2019.1,Developer,Desarrollo / QA,NA,54000,10.896739325546411,NA,7.166728532498944,1295.5991516436904,NA,5,2,2,0,Sin equipo,Staff,NA,NA,Hombre,28,Universitario,Interior,NA
2019,1,2019.1,Developer,Desarrollo / QA,NA,47907.83,10.777034235593204,NA,7.047023442545737,1149.4322945387064,NA,5,5,5,0,Sin equipo,Staff,NA,NA,Hombre,28,Universitario,Interior,NA
2019,1,2019.1,Architect,Infraestructura,NA,40000,10.596634733096073,NA,6.866623940048606,959.7030752916226,NA,16,10,4,3,Equipo pequeño,Staff,NA,NA,Hombre,36,Universitario,CABA,NA
2019,1,2019.1,Architect,Infraestructura,NA,67000,11.112447898373103,NA,7.382437105325636,1607.5026511134677,NA,17,1,1,0,Sin equipo,Staff,NA,NA,Hombre,45,Universitario,CABA,NA
2019,1,2019.1,Developer,Desarrollo / QA,NA,50000,10.819778284410283,NA,7.0897674913628155,1199.6288441145282,NA,12,6,6,0,Sin equipo,Staff,NA,NA,Hombre,37,Universitario,CABA,NA
2019,1,2019.1,Developer,Desarrollo / QA,NA,67700,11.122841458900366,NA,7.392830665852899,1624.2974549310711,NA,12,6,2,0,Sin equipo,Staff,NA,NA,Hombre,33,Universitario,CABA,NA
